Brand Name,Generic Name,Number of Manufacturers,Year,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2021-2022),Annual Growth Rate in Average Spending Per Dosage Unit (2018-2022)
Droxia,Hydroxyurea,1,2020,218481.63,274085,4383,868,0.8,49.85,251.71,0,,
Duaklir Pressair,Aclidinium Brom/Formoterol Fum,1,2020,429431.81,427,381,129,1005.7,1127.12,3328.93,0,,
Duavee,"Estrogens,Conj/Bazedoxifene",1,2020,1276061.06,205105,4414,1495,6.22,289.09,853.55,0,,
Duexis,Ibuprofen/FAmotidine,1,2020,48588476.99,1736290,19409,5856,27.98,2503.4,8297.21,0,,
Dulera,Mometasone/Formoterol,2,2020,130978451.5,5340234,305523,82052,24.52,428.7,1596.29,0,,
Duloxetine HCl,Duloxetine HCl,19,2020,405888062,677313353,10733445,2018972,0.6,37.82,201.04,0,,
Duobrii,Halobetasol Propion/Tazarotene,1,2020,1548910.19,186600,1820,1090,8.3,851.05,1421.02,0,,
Duopa,Carbidopa/Levodopa,1,2020,1957304.15,894900,303,30,2.19,6459.75,65243.47,0,,
Dupixent Pen,Dupilumab,1,2020,13385380.25,16918,3902,1720,791.19,3430.39,7782.2,0,,
Dupixent Syringe,Dupilumab,1,2020,466761589.6,579253,137656,19113,817.49,3390.78,24421.16,0,,
Durezol,Difluprednate,1,2020,67934453.27,1680112,311571,169037,40.43,218.04,401.89,0,,
Durysta,Bimatoprost,1,2020,42015.9,21,12,12,2000.76,3501.33,3501.33,1,,
Dutasteride,Dutasteride,8,2020,47272348.74,52881716,825528,194836,0.9,57.26,242.63,0,,
Dutasteride-Tamsulosin,Dutasteride/Tamsulosin HCl,2,2020,13191074.23,3940362,59876,15024,3.35,220.31,878,0,,
Dutoprol,Metoprolol Su/Hydrochlorothiaz,1,2020,335855.79,47837,931,306,7.06,360.75,1097.57,0,,
Dyanavel XR,Amphetamine,1,2020,30829.28,11388,54,17,2.71,570.91,1813.49,0,,
Dymista,Azelastine/Fluticasone,1,2020,9622713.36,1106996,37772,18073,8.69,254.76,532.44,0,,
Dyrenium,Triamterene,1,2020,797218.01,73124,1285,316,10.9,620.4,2522.84,0,,
Dysport,Abobotulinumtoxina,1,2020,1344262.41,1686,937,395,781.06,1434.65,3403.2,0,,
E.E.S. 200,Erythromycin Ethylsuccinate,1,2020,174610.76,53600,249,49,3.26,701.25,3563.48,0,,
Easy Comfort Alcohol Pad,Alcohol Antiseptic Pads,1,2020,132573.27,330821,2099,1046,0.4,63.16,126.74,0,,
Easy Comfort Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,2020,1463485.27,2184188,18399,6014,0.67,79.54,243.35,0,,
Easy Comfort Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,2020,1729443.24,2572046,22168,6722,0.67,78.02,257.28,0,,
Easy Comfort Pen Needle,"Pen Needle, Diabetic",1,2020,11569599.99,13544589,106156,31867,0.85,108.99,363.06,0,,
Easy Comfort Pen Needles,"Pen Needle, Diabetic",1,2020,10480238.98,12669161,96806,30208,0.83,108.26,346.94,0,,
Easy Glide Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,2020,1615.64,2410,25,11,0.67,64.63,146.88,1,,
Easy Glide Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,2020,18225.88,27840,215,113,0.65,84.77,161.29,0,,
Easy Glide Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,2020,15127.77,23970,218,104,0.63,69.39,145.46,0,,
Easy Glide Pen Needle,"Pen Needle, Diabetic",1,2020,271291.74,403957,3376,1166,0.67,80.36,232.67,0,,
Easy Touch,"Syring-Needl,Disp,Insul,0.3 Ml",1,2020,160639.13,687598,6744,2508,0.23,23.82,64.05,0,,
Easy Touch,"Syringe And Needle,Insulin,1ml",1,2020,247669,1132035,10666,3842,0.22,23.22,64.46,0,,
Easy Touch,"Syringe-Needle,Insulin,0.5 Ml",1,2020,528485.23,2430707,21448,7360,0.22,24.64,71.81,0,,
Easy Touch Alcohol Prep Pads,Alcohol Antiseptic Pads,1,2020,703206.04,17514353,144959,51997,0.04,4.85,13.52,0,,
Easy Touch Fliplock Insulin,"Syringe,Needle,Insuln,Safe,1ml",1,2020,3335.14,12152,103,40,0.28,32.38,83.38,0,,
Easy Touch Insulin Safety,"Syringe,Needle,Insuln,Safe,1ml",1,2020,5783.5,19525,218,74,0.3,26.53,78.16,0,,
Easy Touch Insulin Safety,"Syringe,Needle,Insuln,Sf 0.5ml",1,2020,12492.71,41229,494,158,0.3,25.29,79.07,0,,
Easy Touch Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,2020,19510.64,80232,962,345,0.24,20.28,56.55,0,,
Easy Touch Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,2020,52565.81,242831,2432,952,0.22,21.61,55.22,0,,
Easy Touch Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,2020,34839.97,157826,1475,569,0.22,23.62,61.23,0,,
Easy Touch Pen Needle,"Pen Needle, Diabetic",1,2020,3671148.06,14423582,120789,40628,0.25,30.39,90.36,0,,
Easy Touch Safety Pen Needle,"Pen Needle, Diabetic, Safety",1,2020,53526.31,83560,815,235,0.64,65.68,227.77,0,,
Easy Touch Sheathlock Insulin,"Syringe,Needle,Insuln,Safe,1ml",1,2020,1090.34,3940,40,18,0.28,27.26,60.57,1,,
Easy-Touch Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,2020,343272.96,1649442,16021,4842,0.21,21.43,70.89,0,,
Ec-Naproxen,Naproxen,1,2020,2963210.47,1221540,16277,10829,2.42,182.05,273.64,0,,
Eclipse Syringe,"Syringe And Needle,Insulin,1ml",1,2020,2199.55,5371,68,33,0.41,32.35,66.65,0,,
Econazole Nitrate,Econazole Nitrate,3,2020,12659139.78,14062888,179498,95859,0.87,70.53,132.06,0,,
Edarbi,Azilsartan Medoxomil,1,2020,32535197.91,4765544,93047,18129,6.83,349.66,1794.65,0,,
Edarbyclor,Azilsartan Med/Chlorthalidone,1,2020,25688266.58,3832705,76941,15133,6.7,333.87,1697.5,0,,
Edecrin,Ethacrynic Acid,1,2020,920790.6,37636,455,87,24.47,2023.72,10583.8,0,,
Edluar,Zolpidem Tartrate,1,2020,649777.87,51950,1312,241,12.51,495.26,2696.17,0,,
Edurant,Rilpivirine HCl,1,2020,29797072.78,748280,22966,2696,39.82,1297.44,11052.33,0,,
Efavirenz,Efavirenz,6,2020,16018862.83,819024,22347,2694,20.13,716.82,5946.13,0,,
Efavirenz-Emtric-Tenofov Disop,Efavirenz/Emtricit/Tenofovr Df,6,2020,9318182.73,115163,3152,1774,80.91,2956.28,5252.64,0,,
Efavirenz-Lamivu-Tenofov Disop,Efavirenz/Lamivu/Tenofov Disop,1,2020,68008.21,1440,38,22,47.14,1789.69,3091.28,1,,
Effer-K,Potassium Bicarbonate/Cit Ac,1,2020,173940.81,434454,7555,2593,0.41,23.02,67.08,0,,
Effexor XR,Venlafaxine HCl,1,2020,30535487.68,1945449,28056,4368,15.72,1088.38,6990.73,0,,
Effient,Prasugrel HCl,3,2020,3180983.25,211299,3838,886,15.05,828.81,3590.27,0,,
Efudex,Fluorouracil,1,2020,30804.79,19970,479,451,1.54,64.31,68.3,0,,
Egrifta Sv,Tesamorelin Acetate,1,2020,13726811.33,68610,2062,427,200.07,6657.04,32147.1,0,,
Elestrin,Estradiol,1,2020,553521.61,133250,2143,654,4.15,258.29,846.36,0,,
Eletriptan HBr,Eletriptan Hydrobromide,6,2020,8402689.21,696601,56374,13575,12.09,149.05,618.98,1,,
Elidel,Pimecrolimus,1,2020,1685696.37,173205,2532,1271,9.73,665.76,1326.28,0,,
Eligard,Leuprolide Acetate,1,2020,5659461.51,3781,3730,2292,1499.67,1517.28,2469.22,0,,
Elinest,Norgestrel-Ethinyl Estradiol,1,2020,92990.15,150065,3414,614,0.62,27.24,151.45,0,,
Eliquis,Apixaban,1,2020,9936069814,1258380589,14847081,2641941,7.9,669.23,3760.9,0,,
Elite-Ob,Multivit-Min69/Iron/Folic Acid,1,2020,5650.59,4707,77,34,1.2,73.38,166.19,0,,
Elitek,Rasburicase,1,2020,196314.66,77,21,15,3194.56,9348.32,13087.64,1,,
Elixophyllin,Theophylline Anhydrous,1,2020,97672.33,143955,79,22,0.68,1236.36,4439.65,0,,
Ella,Ulipristal Acetate,1,2020,17432.42,463,427,299,37.65,40.83,58.3,0,,
Elmiron,Pentosan Polysulfate Sodium,1,2020,83470502.49,8878056,79822,16617,9.4,1045.71,5023.2,0,,
Eluryng,Etonogestrel/Ethinyl Estradiol,1,2020,455995.89,3677,1989,759,124.01,229.26,600.79,0,,
Emcyt,Estramustine Phosphate Sodium,1,2020,169497.81,10147,142,48,16.7,1193.65,3531.2,0,,
Emend,Aprepitant,1,2020,54636.27,235,56,22,238.37,975.65,2483.47,0,,
Emend,Fosaprepitant Dimeglumine,1,2020,48893.7,153,96,39,319.57,509.31,1253.68,0,,
Emflaza,Deflazacort,1,2020,5876990.56,25236,748,61,245.06,7856.94,96344.11,0,,
Emgality Pen,Galcanezumab-Gnlm,1,2020,112736601.1,180216,151487,29849,625.57,744.2,3776.9,0,,
Emgality Syringe,Galcanezumab-Gnlm,1,2020,19255544.13,32112,21783,5805,615.77,883.97,3317.06,0,,
Emoquette,Desogestrel-Ethinyl Estradiol,1,2020,12688.49,21784,501,128,0.58,25.33,99.13,0,,
Empliciti,Elotuzumab,1,2020,5844300.77,2550,582,66,2342.77,10041.75,88550.01,0,,
Emsam,Selegiline,1,2020,11786120.26,198097,5928,955,59.5,1988.21,12341.49,0,,
Emtricitabine,Emtricitabine,1,2020,567355.09,40235,1284,611,14.1,441.87,928.57,0,,
Emtricitabine-Tenofovir Disop,Emtricitabine/Tenofovir (Tdf),14,2020,11362596.73,227079,6609,3811,50.04,1719.26,2981.53,0,,
Emtriva,Emtricitabine,1,2020,5376032.54,392759,11160,1712,17.77,481.72,3140.21,0,,
Emverm,Mebendazole,1,2020,3361319.37,7186,1572,1241,467.76,2138.24,2708.56,0,,
Enalapril Maleate,Enalapril Maleate,12,2020,71180327.47,235435593,2627066,577005,0.3,27.09,123.36,0,,
Enalapril-Hydrochlorothiazide,Enalapril/Hydrochlorothiazide,2,2020,3832775.43,11729738,149583,36978,0.33,25.62,103.65,0,,
Enbrace Hr,Multivit41/Iron/Folate8/Ps-DHA,1,2020,352221.33,78292,1484,353,4.5,237.35,997.79,0,,
Enbrel,Etanercept,1,2020,583367035.1,461531,90789,12573,1318.14,6425.53,46398.4,0,,
Enbrel Mini,Etanercept,1,2020,200288675.3,141740,32416,4934,1413.07,6178.7,40593.57,0,,
Enbrel Sureclick,Etanercept,1,2020,1371059068,984310,210704,28484,1392.91,6507.04,48134.36,0,,
Endari,Glutamine,1,2020,7343529.55,374955,2489,604,19.59,2950.39,12158.16,0,,
Endocet,Oxycodone HCl/Acetaminophen,1,2020,3311802.29,8309763,89245,15788,0.39,37.11,209.77,0,,
Engerix-B Adult,Hepatitis B Virus Vaccine/PF,1,2020,224931.16,2505,2470,1681,89.86,91.07,133.81,1,,
Engerix-B Pediatric-Adolescent,Hepatitis B Virus Vaccine/PF,1,2020,2061.64,13,18,18,164.93,114.54,114.54,1,,
Enhertu,Fam-Trastuzumab Deruxtecn-Nxki,1,2020,1410929.84,591,154,28,2387.36,9161.88,50390.35,0,,
Enoxaparin Sodium,Enoxaparin Sodium,12,2020,134045938.1,7411192,616714,320154,18.69,217.36,418.69,0,,
Enpresse,Levonorgestrel/Ethin.Estradiol,1,2020,48198.57,78786,1634,294,0.61,29.5,163.94,0,,
Enskyce,Desogestrel-Ethinyl Estradiol,1,2020,112188.09,203780,3897,990,0.55,28.79,113.32,0,,
Enspryng,Satralizumab-Mwge,1,2020,968467.64,65,35,17,14899.5,27670.5,56968.68,0,,
Enstilar,Calcipotriene/Betamethasone,1,2020,6732315.7,358860,4904,2232,18.76,1372.82,3016.27,0,,
Entacapone,Entacapone,10,2020,28779164.4,18915817,127157,23329,1.54,226.33,1233.62,0,,
Entecavir,Entecavir,12,2020,30728680.19,4396897,100492,17897,7.08,305.78,1716.97,1,,
Entresto,Sacubitril/Valsartan,1,2020,1203043540,131374294,1502171,283074,9.16,800.87,4249.93,0,,
Entyvio,Vedolizumab,1,2020,47057158.47,13375,6552,1311,3518.29,7182.11,35894.09,1,,
Enulose,Lactulose,1,2020,5162852.85,176315489,193617,49425,0.03,26.67,104.46,0,,
Envarsus XR,Tacrolimus,1,2020,6260512.65,743981,7870,1494,9.39,795.49,4190.44,0,,
Epaned,Enalapril Maleate,1,2020,599784.07,162020,497,98,3.7,1206.81,6120.25,0,,
Epclusa,Sofosbuvir/Velpatasvir,1,2020,867053907.2,983761,34945,13559,881.37,24811.96,63946.74,0,,
Epidiolex,Cannabidiol (Cbd),1,2020,106979035.5,7890798,29682,3313,13.56,3604.17,32290.68,0,,
Epiduo Forte,Adapalene/Benzoyl Peroxide,1,2020,469833.08,38760,808,413,12.12,581.48,1137.61,0,,
Epinastine HCl,Epinastine HCl,3,2020,1835055.18,182312,26742,9903,10.06,68.62,185.3,0,,
Epinephrine,Epinephrine,4,2020,94680099.62,679787,331398,274275,138.83,285.7,345.2,0,,
Epipen 2-Pak,Epinephrine,1,2020,6804436.1,24030,11609,10052,283.16,586.13,676.92,0,,
Epipen Jr 2-Pak,Epinephrine,1,2020,39503.38,130,61,46,303.87,647.6,858.77,0,,
Epitol,Carbamazepine,1,2020,586445.92,1176802,8076,3768,0.5,72.62,155.64,0,,
Epivir,Lamivudine,1,2020,166660.26,37447,519,104,7.81,321.12,1602.5,0,,
Epivir Hbv,Lamivudine,1,2020,252047.27,182605,887,160,2.9,284.16,1575.3,0,,
Eplerenone,Eplerenone,9,2020,29441285.61,14826052,203381,47519,1.98,144.76,619.57,0,,
Epogen,Epoetin Alfa,1,2020,7888250.6,43238,13967,3638,196.7,564.78,2168.29,0,,
Epzicom,Abacavir Sulfate/Lamivudine,1,2020,2314137.15,55600,1656,330,41.62,1397.43,7012.54,0,,
Equetro,Carbamazepine,1,2020,1983989.48,437174,4646,657,4.55,427.03,3019.77,0,,
Eraxis (Water Diluent),Anidulafungin,1,2020,590075.93,27171,661,185,21.57,892.7,3189.6,1,,
Erbitux,Cetuximab,1,2020,4866226.05,354780,547,100,13.71,8896.21,48662.26,0,,
Ergoloid Mesylates,Ergoloid Mesylates,1,2020,198083.23,33344,242,77,5.94,818.53,2572.51,0,,
Ergomar,Ergotamine Tartrate,1,2020,122570.21,1923,96,34,63.74,1276.77,3605.01,0,,
Ergotamine-Caffeine,Ergotamine Tartrate/Caffeine,1,2020,2699588.18,271682,4388,1594,9.94,615.22,1693.59,0,,
Erivedge,Vismodegib,1,2020,138064673,324719,11705,2352,425.18,11795.36,58700.97,0,,
Erleada,Apalutamide,1,2020,469314124.5,4448090,36947,5808,105.51,12702.36,80804.77,0,,
Erlotinib HCl,Erlotinib HCl,7,2020,28036569.88,285683,7483,1279,111.67,3746.7,21920.7,0,,
Errin,Norethindrone,1,2020,176612.1,272059,5148,1553,0.65,34.31,113.72,0,,
Ertaczo,Sertaconazole Nitrate,1,2020,429249.69,28710,395,184,14.95,1086.71,2332.88,0,,
Ertapenem,Ertapenem Sodium,13,2020,70694953.29,5537987,113118,44633,24.37,624.97,1583.92,1,,
Ery,Erythromycin Base In Ethanol,1,2020,82980.36,74580,1068,443,1.11,77.7,187.31,0,,
Ery-Tab,Erythromycin Base,2,2020,245856.09,34732,707,374,7.29,347.75,657.37,0,,
Eryped 200,Erythromycin Ethylsuccinate,1,2020,214143.36,60010,236,65,3.57,907.39,3294.51,0,,
Eryped 400,Erythromycin Ethylsuccinate,1,2020,210653.28,34000,149,53,6.2,1413.78,3974.59,0,,
Erythrocin Stearate,Erythromycin Stearate,1,2020,520656.5,53015,934,595,9.82,557.45,875.05,0,,
Erythromycin,Erythromycin Base In Ethanol,6,2020,2522762.33,3354703,31376,17256,0.94,80.4,146.2,0,,
Erythromycin Ethylsuccinate,Erythromycin Ethylsuccinate,4,2020,4622466.37,1698431,7272,1765,2.69,635.65,2618.96,0,,
Erythromycin*,Erythromycin Base,10,2020,35408581.16,6662084,1141923,741779,3.84,31.01,47.73,0,,
Erythromycin-Benzoyl Peroxide,Erythromycin/Benzoyl Peroxide,3,2020,1497552.64,462982,10509,3832,3.23,142.5,390.8,0,,
Esbriet,Pirfenidone,1,2020,671048017.6,13502929,67069,9490,62.91,10005.34,70711.07,0,,
Escitalopram Oxalate,Escitalopram Oxalate,17,2020,137279563.5,540906836,9935977,2095226,0.25,13.82,65.52,0,,
Esgic,Butalb/Acetaminophen/Caffeine,1,2020,220661.59,43884,538,111,4.88,410.15,1987.94,0,,
Esomeprazole Magnesium,Esomeprazole Magnesium,17,2020,284297845.8,184397145,2945327,735057,1.55,96.53,386.77,0,,
Esomeprazole Sodium,Esomeprazole Sodium,2,2020,83554.51,2340,175,19,35.71,477.45,4397.61,1,,
Estarylla,Norgestimate-Ethinyl Estradiol,1,2020,343953.29,550347,10797,3118,0.62,31.86,110.31,0,,
Estazolam,Estazolam,3,2020,3967107.03,2719411,86892,13777,1.45,45.66,287.95,0,,
Estrace*,Estradiol,1,2020,36113387.87,4449004,100787,48344,8.14,358.31,747.01,0,,
Estradiol (Once Weekly),Estradiol,2,2020,20202351.23,1372528,180971,42247,14.72,111.63,478.2,0,,
Estradiol (Twice Weekly),Estradiol,3,2020,24403368.7,2951025,192773,51495,8.28,126.59,473.9,0,,
Estradiol Valerate,Estradiol Valerate,3,2020,938536.08,35868,6423,2444,26.15,146.12,384.02,0,,
Estradiol*,Estradiol,13,2020,217255297.1,145607836,2672248,868745,2.53,81.3,250.08,0,,
Estradiol-Norethindrone Acetat,Estradiol/Norethindrone Acet,3,2020,5581436.37,2177849,41058,10313,2.55,135.94,541.2,0,,
Estring,Estradiol,1,2020,42668879.2,88728,88585,31845,480.9,481.67,1339.89,0,,
Estrogel,Estradiol,1,2020,399295.89,155350,2311,917,2.57,172.78,435.44,0,,
Eszopiclone,Eszopiclone,10,2020,18500224.72,19164562,510905,107525,0.97,36.21,172.06,0,,
Ethacrynic Acid,Ethacrynic Acid,9,2020,12505372.3,1308420,15940,3901,9.59,784.53,3205.68,0,,
Ethambutol HCl,Ethambutol HCl,4,2020,2968743.87,4135881,55957,12866,0.72,53.05,230.74,0,,
Ethosuximide,Ethosuximide,7,2020,2579257.1,2973769,15035,2072,1.09,171.55,1244.82,0,,
Ethynodiol-Ethinyl Estradiol,Ethynodiol D-Ethinyl Estradiol,1,2020,41492.84,58100,999,240,0.72,41.53,172.89,0,,
Etodolac,Etodolac,7,2020,17017941.06,22762374,283397,102806,0.75,60.05,165.53,0,,
Etodolac ER,Etodolac,4,2020,3505694.16,1871556,29690,9990,1.89,118.08,350.92,0,,
Etonogestrel-Ethinyl Estradiol,Etonogestrel/Ethinyl Estradiol,2,2020,1321058.28,10520,5618,1754,125.58,235.15,753.17,0,,
Etoposide*,Etoposide,3,2020,13461.46,8209,290,111,1.64,46.42,121.27,0,,
Eucrisa,Crisaborole,1,2020,14052208.2,1293138,18978,9113,10.87,740.45,1542,0,,
Euthyrox,Levothyroxine Sodium,1,2020,9198928.37,79459847,1206981,545716,0.12,7.62,16.86,0,,
Evamist,Estradiol,1,2020,498556.89,32238,2473,785,15.46,201.6,635.1,0,,
Evekeo,Amphetamine Sulfate,1,2020,119679.84,18439,237,56,6.49,504.98,2137.14,0,,
Evekeo ODT,Amphetamine Sulfate,1,2020,18949.33,2730,57,18,6.94,332.44,1052.74,0,,
Evenity,Romosozumab-Aqqg,1,2020,73486.9,92,39,21,795.05,1884.28,3499.38,0,,
Evenity (2 Syringes),Romosozumab-Aqqg,1,2020,14428059,17939,7353,1569,804.27,1962.2,9195.7,0,,
Everolimus,Everolimus,6,2020,118031034.1,684394,11602,2977,306.21,10173.34,39647.64,0,,
Evista,Raloxifene HCl,1,2020,1994285.1,311596,5016,1111,6.4,397.58,1795.04,0,,
Evotaz,Atazanavir Sulfate/Cobicistat,1,2020,19564433.53,356578,11174,1306,54.87,1750.89,14980.42,0,,
Evoxac,Cevimeline HCl,2,2020,1283054.18,169250,1266,234,7.58,1013.47,5483.14,0,,
Evrysdi,Risdiplam,1,2020,15161292.24,103520,566,185,146.46,26786.74,81952.93,0,,
Exelon,Rivastigmine,1,2020,58031636.99,2453193,71995,12258,23.66,806.05,4734.18,0,,
Exemestane,Exemestane,10,2020,57184208,11284411,202178,46702,5.06,282.84,1224.45,0,,
Exforge,Amlodipine Besylate/Valsartan,1,2020,4194448.43,395931,6903,1352,10.65,607.63,3102.4,0,,
Exforge HCT,Amlodipine/Valsartan/HCThiazid,1,2020,923252.74,87041,1571,351,10.59,587.68,2630.35,0,,
Exjade,Deferasirox,1,2020,14718471.22,99297,1271,262,148.28,11580.23,56177.37,0,,
Exondys-51,Eteplirsen,1,2020,15420572.54,19120,229,11,806.48,67338.74,1401870.23,0,,
Extavia,Interferon Beta-1b,1,2020,12471387.29,32569,2080,300,382.92,5995.86,41571.29,0,,
Eylea,Aflibercept,1,2020,25587700.8,666,10081,2584,38437.92,2538.21,9902.36,0,,
Ezallor Sprinkle,Rosuvastatin Calcium,1,2020,172436.49,57979,1890,536,2.97,91.24,321.71,0,,
Ezetimibe,Ezetimibe,15,2020,280990181.8,302382078,4444226,1132897,0.93,63.23,248.03,0,,
Ezetimibe-Simvastatin,Ezetimibe/Simvastatin,7,2020,56307437.59,18328296,251913,63567,3.07,223.52,885.8,0,,
Fabior,Tazarotene,1,2020,114814.07,9950,166,89,11.54,691.65,1290.05,0,,
Fabrazyme,Agalsidase Beta,1,2020,29364445.12,13116,1723,97,2615.05,17042.63,302726.24,1,,
Falmina,Levonorgestrel/Ethin.Estradiol,1,2020,85736.12,137310,3114,677,0.62,27.53,126.64,0,,
Famciclovir,Famciclovir,8,2020,8534204.22,6193774,140567,70900,1.49,60.71,120.37,0,,
Famotidine,"Famotidine In NaCl,Iso-Osm/PF",1,2020,1295.05,11260,87,57,0.12,14.89,22.72,0,,
Famotidine,Famotidine/PF,4,2020,63762.06,121253,6809,1429,0.52,9.36,44.62,0,,
Famotidine*,Famotidine,27,2020,143447703.1,628939288,8676144,2604222,0.22,16.53,55.08,0,,
Fanapt,Iloperidone,1,2020,80887040.55,2535995,51805,5095,31.42,1561.38,15875.77,0,,
Fareston,Toremifene Citrate,1,2020,539094.65,12035,379,79,44.79,1422.41,6823.98,0,,
Farxiga,Dapagliflozin Propanediol,1,2020,736787563.5,42924124,858348,193920,17.16,858.38,3799.44,0,,
Fasenra,Benralizumab,1,2020,43358081.89,8580,8402,2129,5053.39,5160.45,20365.47,0,,
Fasenra Pen,Benralizumab,1,2020,27206202.82,5279,5214,1497,5153.67,5217.91,18173.82,0,,
Faslodex,Fulvestrant,1,2020,1642589.16,8460,811,190,194.16,2025.39,8645.21,0,,
Febuxostat,Febuxostat,9,2020,118228917.1,20659394,387768,90100,5.72,304.9,1312.2,0,,
Felbamate,Felbamate,10,2020,13594025.4,5099389,24443,2643,2.94,556.15,5143.41,0,,
Felbatol,Felbamate,1,2020,10001936.23,810965,3546,408,13.63,2820.62,24514.55,0,,
Feldene,Piroxicam,1,2020,73934.28,5885,97,25,12.51,762.21,2957.37,0,,
Felodipine ER,Felodipine,11,2020,16774496.68,29901366,399412,92019,0.56,42,182.29,0,,
Femara,Letrozole,1,2020,2352001.01,102787,2119,405,22.88,1109.96,5807.41,0,,
Femhrt,Norethindrone Ac-Eth Estradiol,1,2020,178349.17,32090,528,137,5.56,337.78,1301.82,0,,
Femring,Estradiol Acetate,1,2020,5089738.47,9544,9465,3027,533.18,537.74,1681.45,0,,
Femynor,Norgestimate-Ethinyl Estradiol,1,2020,111962.63,188380,3430,930,0.59,32.64,120.39,0,,
Fenofibrate,Fenofibrate,17,2020,109479475.2,143355823,2080754,499422,0.79,52.62,219.21,0,,
Fenofibrate,Fenofibrate Nanocrystallized,13,2020,92314503.92,109952465,1749794,407731,0.84,52.76,226.41,0,,
Fenofibrate,"Fenofibrate,Micronized",16,2020,33896765.49,37001026,582181,133888,0.92,58.22,253.17,0,,
Fenofibric Acid,Fenofibric Acid (Choline),10,2020,28315721.71,13927824,206448,48789,2.03,137.16,580.37,0,,
Fenoprofen Calcium,Fenoprofen Calcium,2,2020,821397.92,283990,3097,1299,2.89,265.22,632.33,0,,
Fentanyl,Fentanyl,5,2020,129011567.5,13847550,1378763,175917,9.27,93.57,733.37,0,,
Fentanyl Citrate,Fentanyl Citrate,3,2020,7305776.98,197640,1731,230,32.94,4220.55,31764.25,0,,
Fentanyl Citrate*,Fentanyl Citrate/PF,2,2020,17226.27,14747,3168,2807,1.53,5.44,6.14,0,,
Fentora,Fentanyl Citrate,1,2020,3312604.37,27194,261,41,115.99,12691.97,80795.23,0,,
Ferriprox (2 Times A Day),Deferiprone,1,2020,4167407.78,23808,193,70,175.04,21592.79,59534.4,0,,
Fetzima,Levomilnacipran HCl,1,2020,30568516.3,2185395,56673,7754,13.99,539.38,3942.29,0,,
Fiasp,Insulin Aspart (Niacinamide),1,2020,8960477.61,306804,8243,2421,29.21,1087.04,3701.15,0,,
Fiasp Flextouch,Insulin Aspart (Niacinamide),1,2020,29337196.25,772879,32809,10047,37.96,894.18,2920,0,,
Fiasp Penfill,Insulin Aspart (Niacinamide),1,2020,345965.2,9453,400,172,36.6,864.91,2011.43,0,,
Finacea,Azelaic Acid,1,2020,1569425.15,215755,3872,2473,7.28,405.33,634.62,0,,
Finasteride,Finasteride,12,2020,119835568.9,437647922,6477806,1531973,0.27,18.5,78.22,0,,
Fioricet,Butalb/Acetaminophen/Caffeine,1,2020,1059526.58,201814,2165,458,5.25,489.39,2313.38,0,,
Fioricet With Codeine,Butalbit/Acetamin/Caff/Codeine,1,2020,376400.59,34456,542,134,10.92,694.47,2808.96,0,,
Firazyr,Icatibant Acetate,1,2020,72629981.68,19406,1403,339,3742.66,51767.63,214247.73,0,,
Firdapse,Amifampridine Phosphate,1,2020,79392496.11,418572,2093,241,189.67,37932.39,329429.44,0,,
Firmagon,Degarelix Acetate,1,2020,1051560.84,1916,1713,369,527.04,613.87,2849.76,0,,
Firvanq,Vancomycin HCl,2,2020,2897662.6,3705010,18770,10041,0.8,154.38,288.58,0,,
Flac Otic Oil,Fluocinolone Acetonide Oil,1,2020,45409.3,8500,421,311,5.34,107.86,146.01,0,,
Flarex,Fluorometholone Acetate,2,2020,1196372.54,61242,11131,6529,19.51,107.48,183.24,0,,
Flavoxate HCl,Flavoxate HCl,2,2020,818485.87,871676,9514,3174,0.94,86.03,257.87,0,,
Flecainide Acetate,Flecainide Acetate,6,2020,87444208.71,130883598,1018951,237228,0.68,85.82,368.61,0,,
Flector,Diclofenac Epolamine,2,2020,8116005.01,656611,11611,3814,12.36,698.99,2127.95,0,,
Flomax,Tamsulosin HCl,1,2020,3536569.57,462971,5752,1805,7.64,614.84,1959.32,0,,
Flovent Diskus,Fluticasone Propionate,1,2020,47085207.97,12799261,156772,43454,3.68,300.34,1083.56,0,,
Flovent HFA,Fluticasone Propionate,1,2020,463094312.1,18538511,1193564,364122,24.83,387.99,1271.81,0,,
Fluconazole,Fluconazole,15,2020,43615861.77,22462250,3025212,1679822,2.63,14.42,25.96,0,,
Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm",6,2020,113606.03,2328487,2076,769,0.07,54.72,147.73,0,,
Flucytosine,Flucytosine,5,2020,1869335.99,25568,225,176,70.11,8308.16,10621.23,1,,
